species,category
Streptococcus_oralis_BJ,shared
Streptococcus_oralis_BK,shared
Streptococcus_oralis_BM,shared
Streptococcus_oralis_BO,shared
Streptococcus_oralis_C,shared
Streptococcus_oralis_F,shared
Streptococcus_oralis_G,shared
Streptococcus_oralis_H,shared
Streptococcus_oralis_J,shared
Streptococcus_oralis_L,shared
Streptococcus_oralis_N,shared
Streptococcus_oralis_S,shared
Streptococcus_oralis_T,shared
Streptococcus_oralis_U,shared
Streptococcus_oralis_W,shared
Streptococcus_oralis_X,shared
Streptococcus_oralis_Y,shared
Streptococcus_oralis_Z,shared
Streptococcus_parasanguinis,shared
Streptococcus_parasanguinis_A,shared
Streptococcus_parasanguinis_B,shared
Streptococcus_parasanguinis_H,shared
Streptococcus_peroris,shared
Streptococcus_pneumoniae,shared
Streptococcus_pseudopneumoniae_A,shared
Streptococcus_pseudopneumoniae_C,shared
Streptococcus_pseudopneumoniae_E,shared
Streptococcus_pseudopneumoniae_L,shared
Streptococcus_pseudopneumoniae_M,shared
Streptococcus_rubneri,shared
Streptococcus_salivarius,shared
Streptococcus_sanguinis,shared
Streptococcus_sanguinis_A,shared
Streptococcus_sanguinis_C,shared
Streptococcus_sanguinis_E,shared
Streptococcus_sanguinis_F,shared
Streptococcus_sanguinis_G,shared
Streptococcus_sanguinis_H,shared
Streptococcus_shenyangsis,shared
Streptococcus_sinensis,shared
Streptococcus_sobrinus,shared
Streptococcus_sp000187445,shared
Streptococcus_sp000187745,shared
Streptococcus_sp000220065,shared
Streptococcus_sp000235485,shared
Streptococcus_sp000259505,shared
Streptococcus_sp000314795,shared
Streptococcus_sp000411475,shared
Streptococcus_sp001553685,shared
Streptococcus_sp001650315,shared
Streptococcus_sp001808705,shared
Streptococcus_sp002355895,shared
Streptococcus_sp003428885,shared
Streptococcus_sp004166885,shared
Streptococcus_sp013276795,shared
Streptococcus_sp013394695,shared
Streptococcus_sp015256435,shared
Streptococcus_sp900546335,shared
Streptococcus_sp900550895,shared
Streptococcus_sp901875575,shared
Streptococcus_sp902363395,shared
Streptococcus_sp902460355,shared
Streptococcus_sp905221165,shared
Streptococcus_sp905221435,shared
Streptococcus_sp905371745,shared
Streptococcus_sp905372115,shared
Streptococcus_sp905372925,shared
Streptococcus_sp905373305,shared
Streptococcus_symci,shared
Streptococcus_thermophilus,shared
Streptococcus_timonensis,shared
Streptococcus_vestibularis,shared
Streptococcus_xiaochunlingii,shared
Synergistes_jonesii,shared
Tannerella_forsythia,shared
Tannerella_forsythia_A,shared
Tannerella_sp002890585,shared
Thermus_parvatiensis,shared
Tractidigestivibacter_sp900605015,shared
Treponema_B_denticola,shared
Treponema_B_putidum,shared
Treponema_B_sp905372205,shared
Treponema_B_sp905372345,shared
Treponema_C_lecithinolyticum,shared
Treponema_C_maltophilum,shared
Treponema_C_sp905372025,shared
Treponema_D_buccale,shared
Treponema_D_paredis,shared
Treponema_D_parvum,shared
Treponema_D_parvum_A,shared
Treponema_D_pectinovorum,shared
Treponema_D_socranskii,shared
Treponema_D_sp014334325,shared
Treponema_D_sp014334335,shared
Treponema_D_sp905372235,shared
Treponema_medium,shared
Treponema_sp000775995,shared
Treponema_sp010365865,shared
Treponema_sp018336815,shared
Treponema_sp905372265,shared
Treponema_sp905373565,shared
Treponema_vincentii,shared
UBA4285_sp900542465,shared
UBA7748_sp003862175,shared
VGLK01_sp013333495,shared
VGLK01_sp905372785,shared
Veillonella_atypica,shared
Veillonella_denticariosi,shared
Veillonella_dispar,shared
Veillonella_infantium,shared
Veillonella_nakazawae,shared
Veillonella_parvula_A,shared
Veillonella_rogosae,shared
Veillonella_sp002959755,shared
Veillonella_sp003463825,shared
Veillonella_sp018367495,shared
Veillonella_sp900538355,shared
Veillonella_sp900545205,shared
Veillonella_sp900549805,shared
Veillonella_sp900550175,shared
Veillonella_sp900550455,shared
Veillonella_sp900552445,shared
Veillonella_sp900757715,shared
Veillonella_sp902834965,shared
Veillonella_sp905209685,shared
Veillonella_tobetsuensis,shared
W11650_sp002999035,shared
W5053_sp000467935,shared
Weissella_cibaria,shared
Xanthomonas_campestris,shared
13_2_20CM_66_19_sp021817875,GTDB_only
1XD8_76_sp014804795,GTDB_only
1XD8_76_sp021769625,GTDB_only
2011_GWC2_44_17_sp001029695,GTDB_only
2_12_FULL_64_23_sp016649475,GTDB_only
2_12_FULL_64_23_sp919902965,GTDB_only
40CM_4_65_16_sp005881275,GTDB_only
69_11_sp017304945,GTDB_only
AC2028_sp017544405,GTDB_only
AC2028_sp017940415,GTDB_only
AC2028_sp902790935,GTDB_only
AC_51_sp005883885,GTDB_only
AG1_sp003116855,GTDB_only
ALPHA2B_sp005503065,GTDB_only
AWVT01_sp000469545,GTDB_only
AWVT01_sp916439735,GTDB_only
Abyssibacter_profundi,GTDB_only
Accumulibacter_sp023806565,GTDB_only
Achromobacter_anxifer,GTDB_only
Achromobacter_ruhlandii,GTDB_only
Acidaminobacter_sp009881125,GTDB_only
Acidaminococcus_provencensis,GTDB_only
Acidaminococcus_sp900538365,GTDB_only
Acidipropionibacterium_acidipropionici,GTDB_only
Acidoferrum_sp021324935,GTDB_only
Acidovorax_A_avenae,GTDB_only
Acidovorax_C_caeni,GTDB_only
Acidovorax_C_sp001725235,GTDB_only
Acidovorax_delafieldii,GTDB_only
Acidovorax_eiseniae,GTDB_only
Acidovorax_facilis,GTDB_only
Acidovorax_radicis,GTDB_only
Acidovorax_radicis_A,GTDB_only
Acidovorax_soli_A,GTDB_only
Acidovorax_sp000276605,GTDB_only
Acidovorax_sp000302535,GTDB_only
Acidovorax_sp002754495,GTDB_only
Acidovorax_sp003058055,GTDB_only
Acidovorax_sp005405905,GTDB_only
Acidovorax_sp016783915,GTDB_only
Acidovorax_sp024711405,GTDB_only
Acidovorax_temperans,GTDB_only
Acinetobacter_baumannii_B,GTDB_only
Acinetobacter_beijerinckii,GTDB_only
Acinetobacter_guillouiae,GTDB_only
Acinetobacter_indicus,GTDB_only
Acinetobacter_oleivorans,GTDB_only
